"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"St. Johns",4.65161290322581,4.73571428571429,4.23548387096774,3.61666666666667,3.25161290322581,3.27,2.65161290322581,3.82258064516129,4.12666666666667,4.90967741935484,4.78333333333333,4.68064516129032
"Halifax",4.63225806451613,4.14642857142857,4.13548387096774,4.01,3.52903225806452,3.12666666666667,3.02258064516129,3.40322580645161,3.20333333333333,4.12258064516129,5.14,5.36451612903226
"Sydney",4.76451612903226,4.44642857142857,4.42258064516129,4.07666666666667,3.18064516129032,2.97666666666667,2.75483870967742,3.11612903225806,3.50666666666667,4.55161290322581,5.19333333333333,5.50967741935484
"Yarmouth",4.02258064516129,3.63928571428571,3.30967741935484,3.37333333333333,3.09354838709677,3.04666666666667,2.63870967741935,2.78064516129032,2.95333333333333,3.50967741935484,4.51666666666667,4.64193548387097
"Charlottvl",3.42903225806452,3.23214285714286,3.02903225806452,2.99333333333333,3.10645161290323,3.02,2.65806451612903,2.99354838709677,3.09,3.66129032258065,4.03,4.25806451612903
"Fredericton",3.06774193548387,2.88214285714286,3.00645161290323,2.78666666666667,3.02903225806452,2.95,2.68709677419355,3.14516129032258,3.02333333333333,3.13870967741935,3.61333333333333,3.73225806451613
"Scheffervll",1.79032258064516,1.26785714285714,1.39032258064516,1.67,1.60967741935484,2.39,3.20322580645161,2.88387096774194,3.11333333333333,3.03870967741935,2.26666666666667,1.64838709677419
"Arvida",1.9,1.74285714285714,1.58387096774194,1.47,2.4741935483871,2.92,3.61612903225806,3,3.29,2.30322580645161,2.45666666666667,2.66129032258065
"Bagottville",1.96129032258065,1.71785714285714,1.71612903225806,1.78,2.57741935483871,3.02666666666667,3.76129032258065,3.26451612903226,3.25666666666667,2.56451612903226,2.53,2.39677419354839
"Quebec",2.93225806451613,2.53928571428571,2.71290322580645,2.60333333333333,3.36451612903226,3.69666666666667,3.89677419354839,3.8258064516129,4.07333333333333,3.16774193548387,3.48333333333333,3.38387096774194
"Sherbrooke",2.37096774193548,2.16428571428571,2.45806451612903,2.58333333333333,2.99032258064516,3.42333333333333,3.72903225806452,4.15806451612903,3.36333333333333,2.92903225806452,3.24,2.99032258064516
"Montreal",2.15483870967742,2.00714285714286,2.18387096774194,2.53666666666667,2.18064516129032,2.79,2.79354838709677,3.17741935483871,2.88666666666667,2.45161290322581,3.08666666666667,2.65806451612903
"Ottawa",1.92903225806452,2.07857142857143,2.15483870967742,2.43333333333333,2.45806451612903,2.6,2.91612903225806,2.94193548387097,2.71333333333333,2.36451612903226,2.84666666666667,2.54838709677419
"Toronto",1.49032258064516,1.55714285714286,1.79354838709677,2.31333333333333,2.14193548387097,2.26666666666667,2.56129032258064,2.73225806451613,2.43,1.99677419354839,2.37333333333333,2.04193548387097
"London",2.28064516129032,2.10357142857143,2.38709677419355,2.69333333333333,2.40645161290323,2.76333333333333,2.64193548387097,2.83548387096774,2.88666666666667,2.46451612903226,3.03666666666667,2.9741935483871
"Thunderbay",1.00967741935484,0.860714285714286,1.27741935483871,1.64,2.24838709677419,2.74666666666667,2.70322580645161,2.79354838709677,2.86666666666667,1.96451612903226,1.69333333333333,1.28709677419355
"Winnipeg",0.596774193548387,0.5,0.712903225806452,1.20666666666667,1.88387096774194,2.80333333333333,2.46129032258065,2.47741935483871,1.73,0.958064516129032,0.74,0.612903225806452
"The Pas",0.512903225806452,0.510714285714286,0.65483870967742,0.893333333333333,1.07096774193548,2.11666666666667,2.30967741935484,2.03548387096774,1.9,1.24838709677419,0.846666666666667,0.62258064516129
"Churchill",0.529032258064516,0.435714285714286,0.583870967741935,0.69,0.967741935483871,1.44,1.68709677419355,1.94516129032258,1.87,1.47741935483871,1.16666666666667,0.603225806451613
"Regina",0.451612903225806,0.435714285714286,0.545161290322581,0.683333333333333,1.54193548387097,2.38666666666667,2.01612903225806,1.3741935483871,1.14,0.664516129032258,0.396666666666667,0.525806451612903
"Pr. Albert",0.487096774193548,0.482142857142857,0.541935483870968,0.77,1.39354838709677,2.31333333333333,2.35161290322581,1.7741935483871,1.30333333333333,0.735483870967742,0.56,0.609677419354839
"Uranium Cty",0.67741935483871,0.521428571428571,0.609677419354839,0.636666666666667,0.693548387096774,1.26333333333333,1.70967741935484,1.72258064516129,1.26666666666667,1.18709677419355,0.93,0.664516129032258
"Edmonton",0.761290322580645,0.560714285714286,0.503225806451613,0.766666666666667,1.43870967741935,2.57666666666667,3.1,2.2258064516129,1.54333333333333,0.616129032258064,0.543333333333333,0.6
"Calgary",0.364516129032258,0.342857142857143,0.461290322580645,0.79,1.75483870967742,2.72666666666667,2.20967741935484,1.65806451612903,1.51666666666667,0.5,0.413333333333333,0.390322580645161
"Kamloops",0.819354838709677,0.485714285714286,0.316129032258065,0.5,0.725806451612903,1.01,0.916129032258065,0.974193548387097,0.886666666666667,0.493548387096774,0.77,1.02258064516129
"Vancouver",4.8741935483871,4.21071428571429,3.44516129032258,2.63333333333333,1.96129032258065,1.62666666666667,1.16451612903226,1.29677419354839,2.01666666666667,3.58709677419355,5.62,5.61612903225806
"Victoria",4.49354838709677,3.46428571428571,2.31290322580645,1.49333333333333,1.09354838709677,0.923333333333333,0.629032258064516,0.783870967741936,1.14,2.36451612903226,4.54333333333333,4.8258064516129
"Pr. George",1.77741935483871,1.21428571428571,1.03548387096774,0.993333333333333,1.60967741935484,2.24666666666667,1.9,1.83870967741935,1.96333333333333,1.9258064516129,1.77,1.70967741935484
"Pr. Rupert",8.22903225806452,7.675,6.00322580645161,5.92666666666667,4.65483870967742,3.97333333333333,3.61290322580645,5.18064516129032,8.45333333333333,12.2161290322581,10.19,9.15483870967742
"Whitehorse",0.564516129032258,0.435714285714286,0.374193548387097,0.263333333333333,0.438709677419355,1.06666666666667,1.26129032258065,1.24838709677419,1.21333333333333,0.75483870967742,0.67,0.619354838709677
"Dawson",0.625806451612903,0.564285714285714,0.374193548387097,0.353333333333333,0.770967741935484,1.33666666666667,1.51290322580645,1.45483870967742,1.11333333333333,1.03225806451613,0.873333333333333,0.732258064516129
"Yellowknife",0.490322580645161,0.446428571428571,0.380645161290323,0.34,0.570967741935484,0.806666666666667,1.13225806451613,1.2741935483871,0.97,1.10645161290323,0.796666666666667,0.470967741935484
"Iqaluit",0.690322580645161,0.635714285714286,0.67741935483871,0.886666666666667,0.919354838709677,1.20666666666667,1.85161290322581,2.01935483870968,1.77666666666667,1.29354838709677,0.996666666666667,0.635483870967742
"Inuvik",0.516129032258065,0.417857142857143,0.367741935483871,0.436666666666667,0.606451612903226,0.736666666666667,1.06129032258065,1.43548387096774,0.866666666666667,0.94516129032258,0.59,0.535483870967742
"Resolute",0.119354838709677,0.107142857142857,0.193548387096774,0.21,0.32258064516129,0.413333333333333,0.716129032258065,1.01612903225806,0.753333333333333,0.451612903225806,0.233333333333333,0.170967741935484
